i_rep;i_fol;alg;i_run;acc_train;acc_test;a0;a1;a2
1;2;DE;7;9.940356013247326;10.625824934478569;-0.16131941721818951;3.3447831575869564;0.90102379996846
1;2;DE;8;7.725319713715317;8.66729567765127;0.03976579879877096;3.06509982470728;0.42533332623446835
1;2;DE;9;7.737868328108255;8.651150508437844;0.046322739787957284;3.1035488402739726;0.3516529291953649
1;2;DE;10;8.487595810867385;9.506841638021491;0.14303754849047878;2.9755547790675165;-0.007404238608746394
1;2;RealSpacePSO;1;7.725283092595005;8.667491655423937;0.03977029657279786;3.0647267587190457;0.42567995143776066
1;2;RealSpacePSO;2;7.725283087367297;8.66749165127039;0.039770316017664356;3.0647267400572265;0.42567990216299556
1;2;RealSpacePSO;3;7.7252830873695695;8.667491651166506;0.03977031594320378;3.0647267403480636;0.42567990214519363
1;2;RealSpacePSO;4;7.725283087519465;8.667491651323845;0.03977031653248271;3.064726739280054;0.4256799011029703
1;2;RealSpacePSO;5;7.725283087387397;8.667491651222363;0.03977031596417921;3.064726740338087;0.42567990191939536
1;2;RealSpacePSO;6;7.725283087385312;8.667491651046573;0.03977031593975276;3.0647267405463303;0.42567990200561906
1;2;RealSpacePSO;7;7.725283087363814;8.667491651188506;0.03977031596046787;3.064726740282128;0.42567990215105667
1;2;RealSpacePSO;8;7.725283087367782;8.667491651209625;0.03977031600600233;3.0647267402452116;0.4256799019437566
1;2;RealSpacePSO;9;7.725283087364257;8.667491651156373;0.039770315982133174;3.064726740326519;0.42567990201476497
1;2;RealSpacePSO;10;7.725283087403602;8.667491651135952;0.039770315968367456;3.0647267406341046;0.425679901432521
1;2;CMA;1;7.725283139765541;8.667491888638425;0.03977029583768604;3.0647264235987155;0.4256801464264077
1;2;CMA;2;7.725283253323122;8.66749268588518;0.03977041756980159;3.0647249957088354;0.42568080628225546
1;2;CMA;3;7.725283087547948;8.66749165179954;0.03977031572760506;3.064726739761061;0.4256799030589612
1;2;CMA;4;7.72528309933785;8.667491619655971;0.0397702783855917;3.0647268564110304;0.4256799117024476
1;2;CMA;5;22.88911568772981;27.555800908071827;0.5432858751691827;0.23476154019050188;1.9616016840161894
1;2;CMA;6;7.725283093336209;8.667491645586527;0.03977032962370323;3.0647267294446854;0.42567986895205
1;2;CMA;7;7.725283102598746;8.667491574797568;0.03977031697674673;3.064726886483679;0.4256797506670848
1;2;CMA;8;8.866704968109044;9.585940388669147;-0.020049678335071236;2.463420897366377;1.6762311696818895
1;2;CMA;9;7.725283260965876;8.667491422632684;0.03977030525249711;3.0647282606103885;0.42567703827951286
1;2;CMA;10;9.206936346842493;9.957657615057808;0.1518323601772129;3.2203903786540162;-0.16736224916464434
1;2;CauchyOnePlusOne;1;7.733674758357548;8.695124586667074;0.04202986558170892;3.0019796692816163;0.4929287301789531
1;2;CauchyOnePlusOne;2;7.73416708163367;8.696374787799153;0.04224712178494759;2.9993104877798165;0.4948462569585576
1;2;CauchyOnePlusOne;3;7.733581624131834;8.694875522205034;0.04199383634798288;3.0025088934775406;0.4924943497412836
1;2;CauchyOnePlusOne;4;7.739563998173068;8.710315738729847;0.04450542195416177;2.9707821454063734;0.5163286627657211
1;2;CauchyOnePlusOne;5;7.733677172517808;8.6951710881792;0.04194508488546889;3.002198407748363;0.49302233312884997
1;2;CauchyOnePlusOne;6;7.726657654044436;8.659332347827078;0.03850490094627554;3.085553299127747;0.4047837353564224
1;2;CauchyOnePlusOne;7;7.726781598405691;8.658981371091675;0.037998063735398636;3.0884374310215255;0.4045966667635447
1;2;CauchyOnePlusOne;8;7.728315742512196;8.656991189805884;0.037362635858622054;3.100288903420804;0.3920145073300502
1;2;CauchyOnePlusOne;9;7.726875235802738;8.658741735991297;0.03799195882642306;3.0896509530725007;0.40282706629212744
1;2;CauchyOnePlusOne;10;7.73358772929666;8.69490417570261;0.04199173167075239;3.002466923902834;0.4925514694369614
1;2;DiagonalCMA;1;7.725982585988529;8.671574633623209;0.04053805160871478;3.0548092401401057;0.43427225405356845
1;2;DiagonalCMA;2;7.732423743579423;8.690338044656807;0.04118257042552161;3.0123183526938906;0.48544047066210283
1;2;DiagonalCMA;3;7.725350427656689;8.668440862724356;0.04000689973406854;3.0626257155058005;0.42690252560668307
1;2;DiagonalCMA;4;7.7884756657693455;8.777289644356133;0.05323749814674837;2.8619272476240707;0.6336004252789362
1;2;DiagonalCMA;5;7.726219395385008;8.672567984598839;0.040684100071103436;3.0522556912873933;0.43689974052441083
1;2;DiagonalCMA;6;7.725396069248089;8.668864858601259;0.04004302044145915;3.0617820500309425;0.4275973310271387
1;2;DiagonalCMA;7;7.725522027635938;8.665720928094943;0.03936495287615557;3.068797439321934;0.4228628491067854
1;2;DiagonalCMA;8;10.45229720077004;11.236266288481076;-0.012317167598827172;1.8125349273295077;2.5954972744100466
1;2;DiagonalCMA;9;7.7347195892889475;8.697115105905212;0.04249523828724962;2.999885510907767;0.49013207044170903
1;2;DiagonalCMA;10;7.726516520518064;8.673467025436663;0.04077106359506336;3.0497638734590127;0.43993011944716726
1;2;QrDE;1;7.725504697083297;8.666346710097587;0.039289471913958464;3.0677523216350178;0.42410748426203354
1;2;QrDE;2;7.758208318466426;8.730386568779037;0.046638185762436696;2.9179371730369272;0.5875899782213001
1;2;QrDE;3;7.72529312868652;8.667519129455515;0.0397963628110727;3.0646777994421526;0.42558700653170134
1;2;QrDE;4;7.725288730140331;8.667476746644379;0.0397717414263934;3.0647470402261496;0.42566274698097406
1;2;QrDE;5;7.728543681558064;8.660231671405429;0.03591490947528025;3.1013683142555086;0.3960922881336077
1;2;QrDE;6;7.725297064920045;8.667422180654825;0.039756113343088206;3.06491863740449;0.4254866149928108
1;2;QrDE;7;7.765197837490791;8.737185478999507;0.019271152633672937;3.101718769995112;0.4711611099100601
1;2;QrDE;8;7.7370680078299;8.679992643628381;0.0508065804932959;3.029199503948174;0.4202954494879534
1;2;QrDE;9;7.728590226291139;8.677091356545438;0.04151487741952549;3.0434361885469774;0.44155255490204587
1;2;QrDE;10;7.775786347822701;8.738936262464199;0.017277439070767685;3.19056782017236;0.3559678497988839
1;2;NelderMead;1;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;2;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;3;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;4;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;5;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;6;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;7;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;8;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
1;2;NelderMead;9;7.725283087357022;8.667491651193371;0.03977031598446112;3.064726740235946;0.4256799021186054
